id,Authors,Transform,CorrelationCoefficient,StandardError,Tstatistic,Observations,DegreesofFreedom,Unemployment,YouthUnemployment,LongTermUnemployment,FemaleUnemployment,OtherDependentVar,LaggedEPL,OECDMethodologyIndex,LawBased,SurveyBased,EFWIndex,EPLtype,InteractedEPL,CrossSection,CountryFixedEffects,StartYearData,EndYearData,PostCrisisData,YearAverage,OECDCountriesOnly,NonOECDcountries,MixofCountries,OLS,GMM,FGLS,IV,OtherEstimator,JournalName,LaborJournal,YearofPublication,Primary,Crossauthor,Prior,UBR,TaxWedge,GDPgrowth,ACCU,RealInterestRate,ProductMarketRegulation,NonFeldmann
1,Avdagic 2015,1,0.166,0.22,0.754545455,451,379,1,0,0,0,0,0,1,0,0,0,OECD,0,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,0.504,0.382,1.319371728,429,356,0,1,0,0,0,0,1,0,0,0,OECD,0,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,0.102,0.105,0.971428571,448,375,1,0,0,0,0,0,1,0,0,0,OECD,0,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,0.929,0.331,2.806646526,426,352,0,1,0,0,0,0,1,0,0,0,OECD,0,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,0.091,0.096,0.947916667,448,375,1,0,0,0,0,0,1,0,0,0,OECD,0,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,0.085,0.127,0.669291339,426,352,0,1,0,0,0,0,1,0,0,0,OECD,0,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,0.099,0.118,0.838983051,448,374,1,0,0,0,0,0,1,0,0,0,OECD,1,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,0.087,0.12,0.725,426,351,0,1,0,0,0,0,1,0,0,0,OECD,1,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,0.011,0.069,0.15942029,448,374,1,0,0,0,0,0,1,0,0,0,OECD,1,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,-0.013,0.149,-0.087248322,426,351,0,1,0,0,0,0,1,0,0,0,OECD,1,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,0.13,0.239,0.543933054,451,377,1,0,0,0,0,0,1,0,0,0,OECD,1,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,0.379,0.405,0.935802469,429,355,0,1,0,0,0,0,1,0,0,0,OECD,1,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,0.788,1.049,0.751191611,223,148,0,1,0,0,0,0,1,0,0,0,OECD,1,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,-1.4512,0.6394,-2.269627776,162,108,0,1,0,0,0,0,1,0,0,0,OECD,0,0,1,1980,2009,1,0,1,0,0,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,0.9509,0.4063,2.340388875,267,204,0,1,0,0,0,0,1,0,0,0,OECD,0,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,0.16,1.2342,0.129638632,264,209,0,1,0,0,0,0,1,0,0,0,OECD,0,0,1,1980,2009,1,0,1,0,0,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,0.9205,0.4229,2.176637503,162,98,0,1,0,0,0,0,1,0,0,0,OECD,0,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,-0.8101,0.3736,-2.168361884,264,209,0,1,0,0,0,0,1,0,0,0,OECD,0,0,1,1980,2009,1,0,1,0,0,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,0.311,0.3351,0.92808117,162,98,0,1,0,0,0,0,1,0,0,0,OECD,0,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,-0.131,0.2932,-0.446793997,423,342,1,0,0,0,0,0,1,0,0,0,OECD,0,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,0.2722,0.1604,1.697007481,423,342,1,0,0,0,0,1,1,0,0,0,OECD,0,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,0.2241,0.2682,0.83557047,420,337,1,0,0,0,0,0,1,0,0,0,OECD,0,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,0.264,0.1236,2.13592233,420,337,1,0,0,0,0,1,1,0,0,0,OECD,0,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,-0.122,0.183,-0.666666667,420,337,1,0,0,0,0,0,1,0,0,0,OECD,0,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,0.105,0.0916,1.14628821,420,337,1,0,0,0,0,1,1,0,0,0,OECD,0,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,0.1579,0.9188,0.171854593,409,326,0,1,0,0,0,0,1,0,0,0,OECD,0,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,0.3888,0.3728,1.042918455,409,326,0,1,0,0,0,1,1,0,0,0,OECD,0,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,1.9841,0.7438,2.66751815,406,321,0,1,0,0,0,0,1,0,0,0,OECD,0,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,0.6935,0.5195,1.33493744,406,321,0,1,0,0,0,1,1,0,0,0,OECD,0,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,-0.221,0.5199,-0.425081746,406,321,0,1,0,0,0,0,1,0,0,0,OECD,0,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
1,Avdagic 2015,1,0.0101,0.2153,0.046911287,406,321,0,1,0,0,0,1,1,0,0,0,OECD,0,0,1,1980,2009,1,0,0,0,1,1,0,0,0,0,British Journal of Industrial Relations,0,2015,1,1,1,1,1,1,0,1,0,1
2,Avdagic and Salardi 2013,1,-0.024,0.156,-0.153846154,451,387,1,0,0,0,0,0,1,0,0,0,OECD,0,0,1,1980,2006,0,0,0,0,1,0,0,1,0,0,Socio-Economic Review,0,2013,0,1,0,1,1,1,0,1,0,1
2,Avdagic and Salardi 2013,1,0.166,0.22,0.754545455,451,387,1,0,0,0,0,0,1,0,0,0,OECD,0,0,1,1980,2006,0,0,0,0,1,1,0,0,0,0,Socio-Economic Review,0,2013,0,1,0,1,1,1,0,1,0,1
2,Avdagic and Salardi 2013,1,0.066,0.169,0.390532544,451,384,1,0,0,0,0,0,1,0,0,0,OECD,1,0,1,1980,2006,0,0,0,0,1,0,0,1,0,0,Socio-Economic Review,0,2013,0,1,0,1,1,1,0,1,0,1
2,Avdagic and Salardi 2013,1,0.186,0.233,0.798283262,451,384,1,0,0,0,0,0,1,0,0,0,OECD,1,0,1,1980,2006,0,0,0,0,1,1,0,0,0,0,Socio-Economic Review,0,2013,0,1,0,1,1,1,0,1,0,1
2,Avdagic and Salardi 2013,1,-0.009,0.159,-0.056603774,451,385,1,0,0,0,0,0,1,0,0,0,OECD,0,0,1,1980,2006,0,0,0,0,1,0,0,1,0,0,Socio-Economic Review,0,2013,0,1,0,1,1,1,0,1,0,1
2,Avdagic and Salardi 2013,1,0.15,0.24,0.625,451,385,1,0,0,0,0,0,1,0,0,0,OECD,0,0,1,1980,2006,0,0,0,0,1,1,0,0,0,0,Socio-Economic Review,0,2013,0,1,0,1,1,1,0,1,0,1
2,Avdagic and Salardi 2013,1,0.023,0.157,0.146496815,448,382,1,0,0,0,0,0,1,0,0,0,OECD,1,0,1,1980,2006,0,0,0,0,1,0,0,1,0,0,Socio-Economic Review,0,2013,0,1,0,1,1,1,0,1,0,1
2,Avdagic and Salardi 2013,1,0.024,0.087,0.275862069,448,382,1,0,0,0,0,0,1,0,0,0,OECD,1,0,1,1980,2006,0,0,0,0,1,0,0,1,0,0,Socio-Economic Review,0,2013,0,1,0,1,1,1,0,1,0,1
2,Avdagic and Salardi 2013,1,0.099,0.118,0.838983051,448,382,1,0,0,0,0,0,1,0,0,0,OECD,1,0,1,1980,2006,0,0,0,0,1,1,0,0,0,0,Socio-Economic Review,0,2013,0,1,0,1,1,1,0,1,0,1
